keyword_concept_en_expanded,keyword_concept_polish_expanded,keyword_semantic_expanded_id,n_records
neurotrophin factor (bdnf),neurotrophin czynnik (bdnf),app_sem_exp_0890,1
phobic disorder,phobic zaburzenie,app_sem_exp_1010,1
paternal behavior,paternal behavior,app_sem_exp_0963,1
neurotrophic tyrosine receptor kinase,neurotrophic tyrosine receptor kinase,app_sem_exp_0889,1
physical appearance,physical appearance,app_sem_exp_1012,1
physical health,physical zdrowie,app_sem_exp_1013,1
neurotransmitter,neurotransmitter,app_sem_exp_0888,1
neurotransmission,neurotransmission,app_sem_exp_0887,1
oms guidelines,oms guidelines,app_sem_exp_0928,1
neutrophil lymphocyte ratio,neutrophil lymphocyte ratio,app_sem_exp_0892,1
synthetic cannabinoids,synthetic cannabinoids,app_sem_exp_1356,1
syndrome,zespół,app_sem_exp_1355,1
symptomatic dimensions,symptomatic dimensions,app_sem_exp_1354,1
symptom improvement,objaw improvement,app_sem_exp_1353,1
survivors,survivors,app_sem_exp_1351,1
survivor,survivor,app_sem_exp_1350,1
suppression,suppression,app_sem_exp_1349,1
supportive-expressive therapy,supportive-expressive terapia,app_sem_exp_1348,1
microbiome,microbiome,app_sem_exp_0821,1
supervision,supervision,app_sem_exp_1346,1
subtypes,subtypes,app_sem_exp_1343,1
submit your paper,submit your paper,app_sem_exp_1341,1
subjective aspects,subjective aspects,app_sem_exp_1340,1
styles of interpersonal functioning,styles of interpersonal functioning,app_sem_exp_1339,1
stuttering,stuttering,app_sem_exp_1338,1
student training,student training,app_sem_exp_1336,1
structured professional judgement,structured professional judgement,app_sem_exp_1335,1
structure,structure,app_sem_exp_1334,1
support,wsparcie,app_sem_exp_1347,1
the offer self-image questionnaire for adolescents,the offer ja-obraz kwestionariusz for adolescenci,app_sem_exp_1379,1
the number of sex partners,the number of sex partners,app_sem_exp_1378,1
the light triad,the light triad,app_sem_exp_1377,1
the elderly,the elderly,app_sem_exp_1376,1
the dark triad,the dark triad,app_sem_exp_1375,1
the centrality of religiosity,the centrality of religiosity,app_sem_exp_1374,1
the big five personality factor,the big five osobowość czynnik,app_sem_exp_1373,1
thanatosis,thanatosis,app_sem_exp_1372,1
systemic therapy,systemic terapia,app_sem_exp_1358,1
terms for recipients of mental health services,terms for recipients of mental health services,app_sem_exp_1370,1
temptation of omnipotence,temptation of omnipotence,app_sem_exp_1369,1
temporomandibular joint dysfunction,temporomandibular joint dysfunkcja,app_sem_exp_1368,1
temporomandibular disorder,temporomandibular zaburzenie,app_sem_exp_1367,1
temperament and character,temperament and character,app_sem_exp_1365,1
teachers,teachers,app_sem_exp_1363,1
tako-tsubo,tako-tsubo,app_sem_exp_1361,1
tako tsubo,tako tsubo,app_sem_exp_1360,1
taboo,taboo,app_sem_exp_1359,1
territoriality,territoriality,app_sem_exp_1371,1
somatoform,somatoform,app_sem_exp_1309,1
somatization,somatyzacja,app_sem_exp_1308,1
somatic disorder,somatic zaburzenie,app_sem_exp_1307,1
solution focused brief therapy,solution focused brief terapia,app_sem_exp_1306,1
solastalgia,solastalgia,app_sem_exp_1305,1
sodium-glucose co-transporter-2 inhibitor,sodium-glucose co-transporter-2 inhibitor,app_sem_exp_1304,1
socioeconomic status,socioeconomic status,app_sem_exp_1302,1
socio-demographic characteristics,socio-demographic characteristics,app_sem_exp_1301,1
structural equation modeling,structural equation modeling,app_sem_exp_1333,1
social phobia,społeczny phobia,app_sem_exp_1297,1
social media addiction,społeczny media uzależnienie,app_sem_exp_1295,1
social learning,społeczny learning,app_sem_exp_1293,1
social frustration,społeczny frustration,app_sem_exp_1291,1
social exclusion,społeczny exclusion,app_sem_exp_1290,1
social distancing,społeczny distancing,app_sem_exp_1289,1
social constructionism,społeczny constructionism,app_sem_exp_1287,1
social connectedness,społeczny connectedness,app_sem_exp_1286,1
social care system,społeczny care system,app_sem_exp_1285,1
social work,społeczny work,app_sem_exp_1300,1
strp,strp,app_sem_exp_1332,1
stress reactivity,stres reactivity,app_sem_exp_1330,1
strategies of mapping,strategie of mapping,app_sem_exp_1328,1
stq-now,stq-now,app_sem_exp_1327,1
story,story,app_sem_exp_1326,1
stigmatization,stigmatization,app_sem_exp_1325,1
statistics,statistics,app_sem_exp_1323,1
stages of supervision,stages of supervision,app_sem_exp_1322,1
staff training,staff training,app_sem_exp_1321,1
somatoform disorder,somatoform zaburzenie,app_sem_exp_1310,1
st. petersburg school of clinical psychology,st. petersburg school of clinical psychology,app_sem_exp_1319,1
spouse burden,spouse burden,app_sem_exp_1318,1
spirituality,duchowość,app_sem_exp_1317,1
spiritual distress,spiritual distress,app_sem_exp_1316,1
spectrum of bipolar disorder,spectrum of bipolar disorder,app_sem_exp_1315,1
spect,spect,app_sem_exp_1314,1
specific disorder,specific zaburzenie,app_sem_exp_1313,1
spatial analysis,spatial analysis,app_sem_exp_1312,1
sparteine oxidation,sparteine oxidation,app_sem_exp_1311,1
staff supervision,staff supervision,app_sem_exp_1320,1
uhplc,uhplc,app_sem_exp_1422,1
addicts,addicts,app_sem_exp_0013,1
type 2 (ntrk2),type 2 (ntrk2),app_sem_exp_1420,1
type 1 diabetes mellitus,cukrzyca typu 1,app_sem_exp_1419,1
trichotillomania,trichotillomania,app_sem_exp_1417,1
treatment techniques,leczenie techniques,app_sem_exp_1416,1
treatment response,leczenie response,app_sem_exp_1415,1
treatment outcome follow-up study,leczenie wynik follow-up badanie,app_sem_exp_1414,1
the paradox,the paradox,app_sem_exp_1380,1
agoraphobia,agorafobia,app_sem_exp_0036,1
agenesis of carpos callosum,agenesis of carpos callosum,app_sem_exp_0034,1
affirming compulsions,affirming compulsions,app_sem_exp_0033,1
affective temperaments,afektywny temperaments,app_sem_exp_0032,1
affective,afektywny,app_sem_exp_0030,1
affect regulation training,affect regulacja training,app_sem_exp_0029,1
affect phobia model,affect phobia model,app_sem_exp_0028,1
aerobic exercise,aerobic exercise,app_sem_exp_0027,1
adverse effect,adverse effect,app_sem_exp_0025,1
zolpidem,zolpidem,app_sem_exp_1477,1
virtual reality,virtual reality,app_sem_exp_1444,1
vikings,vikings,app_sem_exp_1442,1
verbal fluency,verbal fluency,app_sem_exp_1441,1
verb generation,verb generation,app_sem_exp_1440,1
venlafaxine,venlafaxine,app_sem_exp_1439,1
vascular factor,vascular czynnik,app_sem_exp_1438,1
values system,values system,app_sem_exp_1437,1
values,wartości,app_sem_exp_1436,1
validation,walidacja,app_sem_exp_1435,1
uk,Wielka Brytania,app_sem_exp_1424,1
vaginismus,vaginismus,app_sem_exp_1433,1
utilization behavior,utilization behavior,app_sem_exp_1432,1
urine,urine,app_sem_exp_1431,1
unemployment,unemployment,app_sem_exp_1430,1
underachievement,underachievement,app_sem_exp_1429,1
uncontrolled eating,uncontrolled jedzenie,app_sem_exp_1428,1
unconsciousness in the supervision process,unconsciousness in the supervision process,app_sem_exp_1427,1
unconscious primitive murderous rage,unconscious primitive murderous rage,app_sem_exp_1426,1
ultra-high risk of psychosis,ultra-high ryzyko of psychosis,app_sem_exp_1425,1
vagus nerve,vagus nerve,app_sem_exp_1434,1
transcranial direct current stimulation (tdcs),transcranial direct current stimulation (tdcs),app_sem_exp_1403,1
transcranial direct current stimulation,transcranial direct current stimulation,app_sem_exp_1402,1
transactional analysis,transactional analysis,app_sem_exp_1401,1
topiramate,topiramate,app_sem_exp_1400,1
topics index,topics index,app_sem_exp_1399,1
thin-ideal internalization,thin-ideal internalization,app_sem_exp_1398,1
therapists,therapists,app_sem_exp_1396,1
therapist language,therapist language,app_sem_exp_1394,1
adult children of alcoholics,dorosły dzieci of alcoholics,app_sem_exp_0023,1
therapist characteristics,therapist characteristics,app_sem_exp_1392,1
therapies in burnout,therapies in wypalenie,app_sem_exp_1391,1
therapeutics,therapeutics,app_sem_exp_1390,1
therapeutic relation,terapeutyczny relation,app_sem_exp_1388,1
therapeutic process,terapeutyczny process,app_sem_exp_1387,1
therapeutic influence,terapeutyczny influence,app_sem_exp_1386,1
thendency to computer games,thendency to computer games,app_sem_exp_1383,1
thematic analysis,thematic analysis,app_sem_exp_1382,1
the quality of sexuality,the jakość of sexuality,app_sem_exp_1381,1
therapist credibility,therapist credibility,app_sem_exp_1393,1
adult assessment,dorosły assessment,app_sem_exp_0022,1
adoptive family research methodology,adoptive rodzina badania methodology,app_sem_exp_0021,1
adoptive family,adoptive rodzina,app_sem_exp_0020,1
adoption identity,adoption identity,app_sem_exp_0019,1
administrative management,administrative management,app_sem_exp_0016,1
adequacy of perception,adequacy of perception,app_sem_exp_0014,1
website accessibility,website accessibility,app_sem_exp_1453,1
addiction to mobile phone,uzależnienie to mobile phone,app_sem_exp_0012,1
addiction severity,uzależnienie severity,app_sem_exp_0011,1
transference-countertransference relationship,transference-countertransference relacja,app_sem_exp_1405,1
acl,acl,app_sem_exp_0008,1
acceptance and commitment therapy,acceptance and commitment terapia,app_sem_exp_0007,1
acceptance,acceptance,app_sem_exp_0006,1
treatment efficacy,leczenie skuteczność,app_sem_exp_1413,1
treatment compliance,leczenie compliance,app_sem_exp_1412,1
traumatic lower limb surgery,traumatyczny lower limb surgery,app_sem_exp_1410,1
transsexualism,transsexualism,app_sem_exp_1408,1
transinstitutionalization,transinstitutionalization,app_sem_exp_1407,1
transgenerational autonomy,transgenerational autonomy,app_sem_exp_1406,1
activity,activity,app_sem_exp_0009,1
rapid cycling,rapid cycling,app_sem_exp_1157,1
quarantine,quarantine,app_sem_exp_1155,1
quantitative methods,quantitative methods,app_sem_exp_1154,1
quality of care,jakość of care,app_sem_exp_1152,1
qualitative research,badanie jakościowe,app_sem_exp_1151,1
qualitative methods,qualitative methods,app_sem_exp_1150,1
qualitative analysis,qualitative analysis,app_sem_exp_1149,1
qol measures,qol measures,app_sem_exp_1148,1
snap-25 gene,snap-25 gene,app_sem_exp_1284,1
public health,public health,app_sem_exp_1146,1
psychotic studies,psychotyczny studies,app_sem_exp_1145,1
psychotherapy techniques,psychoterapia techniques,app_sem_exp_1143,1
psychosurgery,psychosurgery,app_sem_exp_1137,1
psychosomatic therapy,psychosomatyczny terapia,app_sem_exp_1136,1
psychosomatic symptom,psychosomatyczny objaw,app_sem_exp_1135,1
psychosocial support for refugees,psychosocial support for refugees,app_sem_exp_1133,1
psychosocial support,psychosocial support,app_sem_exp_1132,1
psychosocial impact,psychospołeczny impact,app_sem_exp_1131,1
putamen,putamen,app_sem_exp_1147,1
resident,resident,app_sem_exp_1182,1
repeated transcranial magnetic stimulation,repeated transcranial magnetic stimulation,app_sem_exp_1180,1
remote working,remote working,app_sem_exp_1179,1
rem sleep behavior disorder,rem sen behavior zaburzenie,app_sem_exp_1178,1
rem sleep,rem sen,app_sem_exp_1177,1
religious coping,religious radzenie sobie,app_sem_exp_1175,1
religious and social predictors,religious and społeczny predictors,app_sem_exp_1174,1
religion,religion,app_sem_exp_1173,1
rating scales,rating scales,app_sem_exp_1158,1
reliability,reliability,app_sem_exp_1171,1
relationships with the mother in the family,relacje with the mother in the rodzina,app_sem_exp_1170,1
relationship with the patient,relacja with the patient,app_sem_exp_1168,1
relationship with the mother,relacja with the mother,app_sem_exp_1167,1
relationship patterns,relacja patterns,app_sem_exp_1166,1
relationship,relacja,app_sem_exp_1165,1
relapse,nawrót,app_sem_exp_1164,1
rehospitalisation,rehospitalisation,app_sem_exp_1163,1
regulatory theory of temperament,regulatory theory of temperament,app_sem_exp_1161,1
reliable change,reliable change,app_sem_exp_1172,1
psychological assistance,psychologiczny assistance,app_sem_exp_1103,1
psychogenic binge easting,psychogenic binge easting,app_sem_exp_1101,1
psychodynamics,psychodynamics,app_sem_exp_1099,1
psychodynamic therapist,psychodynamiczny therapist,app_sem_exp_1097,1
psychodrama,psychodrama,app_sem_exp_1095,1
psychodiagnostics,psychodiagnostics,app_sem_exp_1094,1
psychoanalytic training,psychoanalytic training,app_sem_exp_1092,1
psychoanalytic instinct theory,psychoanalytic instinct theory,app_sem_exp_1091,1
psychosocial functioning,psychosocial functioning,app_sem_exp_1130,1
psychical activity,psychical activity,app_sem_exp_1088,1
psychiatrist,psychiatrist,app_sem_exp_1086,1
psychiatrically-impaired mental health practitioners,psychiatrically-impaired mental health practitioners,app_sem_exp_1085,1
psychiatric outpatients,psychiatryczny outpatients,app_sem_exp_1082,1
psychiatric nurses,psychiatryczny nurses,app_sem_exp_1081,1
psychiatric morbidity,chorobowość psychiatryczna,app_sem_exp_1080,1
psychiatric illness,psychiatryczny illness,app_sem_exp_1079,1
psychiatric disability,psychiatryczny disability,app_sem_exp_1078,1
psychiatric diagnosis,psychiatryczny diagnoza,app_sem_exp_1077,1
psycho-pathological symptom,psycho-pathological objaw,app_sem_exp_1089,1
psychophysical wellbeing,psychophysical wellbeing,app_sem_exp_1128,1
psychopathology of adolescence,psychopathology of adolescence,app_sem_exp_1127,1
psychopathological dimensions,psychopathological dimensions,app_sem_exp_1125,1
psychometric value,psychometric value,app_sem_exp_1124,1
psychometric scales,psychometric scales,app_sem_exp_1123,1
psychometric evaluation,psychometric evaluation,app_sem_exp_1121,1
psychological traits,psychologiczny traits,app_sem_exp_1118,1
psychological resources,psychologiczny resources,app_sem_exp_1116,1
psychological predictors,psychologiczny predictors,app_sem_exp_1115,1
psychological counselors,psychologiczny counselors,app_sem_exp_1104,1
psychological interventions,psychologiczny interventions,app_sem_exp_1113,1
psychological immunity,psychologiczny immunity,app_sem_exp_1112,1
psychological help,psychologiczny help,app_sem_exp_1111,1
psychological hardiness,psychologiczny hardiness,app_sem_exp_1110,1
psychological gender,psychologiczny płeć,app_sem_exp_1109,1
psychological flow,psychologiczny flow,app_sem_exp_1108,1
psychological distress,dystres psychologiczny,app_sem_exp_1107,1
psychological disorder,psychologiczny zaburzenie,app_sem_exp_1106,1
psychological diagnosis,psychologiczny diagnoza,app_sem_exp_1105,1
psychological measurement,psychologiczny measurement,app_sem_exp_1114,1
sexual abuse,seksualny abuse,app_sem_exp_1254,1
service users,service users,app_sem_exp_1253,1
serum concentration,serum concentration,app_sem_exp_1252,1
serum,serum,app_sem_exp_1251,1
sertraline,sertraline,app_sem_exp_1250,1
serotonin reuptake inhibitors,serotonin reuptake inhibitors,app_sem_exp_1249,1
sequential research design,sequential badania design,app_sem_exp_1248,1
sense of self,sense of ja,app_sem_exp_1247,1
resiliency,resiliency,app_sem_exp_1185,1
sense of bodily identity,sense of bodily identity,app_sem_exp_1244,1
sensation seeking,sensation seeking,app_sem_exp_1243,1
seniors,seniors,app_sem_exp_1242,1
send by email,send by email,app_sem_exp_1241,1
semantic satiation,semantic satiation,app_sem_exp_1240,1
semantic priming,semantic priming,app_sem_exp_1239,1
self-starvation,ja-starvation,app_sem_exp_1238,1
self-report,ja-report,app_sem_exp_1237,1
self-regulation competences,ja-regulacja competences,app_sem_exp_1236,1
sense of life satisfaction,sense of życie satisfaction,app_sem_exp_1246,1
sleep paralysis,sen paralysis,app_sem_exp_1282,1
sleep apnea,sen apnea,app_sem_exp_1279,1
skydivers,skydivers,app_sem_exp_1278,1
sibling relationships,sibling relacje,app_sem_exp_1275,1
shyness,shyness,app_sem_exp_1274,1
short-term psychotherapy,short-term psychoterapia,app_sem_exp_1273,1
short-term dynamic therapy,short-term dynamic terapia,app_sem_exp_1272,1
short health anxiety inventory,short zdrowie lęk inventory,app_sem_exp_1270,1
shared psychosis,shared psychosis,app_sem_exp_1269,1
sexual disgust,seksualny disgust,app_sem_exp_1255,1
shame,wstyd,app_sem_exp_1267,1
sexual satisfaction,seksualny satisfaction,app_sem_exp_1265,1
sexual problems,seksualny problems,app_sem_exp_1264,1
sexual offending,seksualny offending,app_sem_exp_1263,1
sexual minority stress scale (smss),seksualny minority stres skala (smss),app_sem_exp_1262,1
sexual minority men,seksualny minority mężczyźni,app_sem_exp_1261,1
sexual life,seksualny życie,app_sem_exp_1260,1
sexual functioning,seksualny functioning,app_sem_exp_1258,1
sexual disorder,seksualny zaburzenie,app_sem_exp_1256,1
shape dissatisfaction,shape dissatisfaction,app_sem_exp_1268,1
scales,scales,app_sem_exp_1205,1
scale development,skala development,app_sem_exp_1204,1
sasb,sasb,app_sem_exp_1203,1
saliva,saliva,app_sem_exp_1202,1
salience,salience,app_sem_exp_1201,1
russia,russia,app_sem_exp_1200,1
runaway girls,runaway girls,app_sem_exp_1199,1
ruminative thinking,ruminative thinking,app_sem_exp_1198,1
self-perception,ja-perception,app_sem_exp_1234,1
risky sexual behavior,risky seksualny behavior,app_sem_exp_1196,1
risk managment,ryzyko managment,app_sem_exp_1195,1
risk behaviors,ryzyko behaviors,app_sem_exp_1193,1
risk assessment,ryzyko assessment,app_sem_exp_1192,1
risk,ryzyko,app_sem_exp_1191,1
rhinoplasty surgery,rhinoplasty surgery,app_sem_exp_1190,1
reversibility,reversibility,app_sem_exp_1189,1
respiration,respiration,app_sem_exp_1188,1
resiliency training,resiliency training,app_sem_exp_1186,1
rosacea,rosacea,app_sem_exp_1197,1
self-mutilation,ja-mutilation,app_sem_exp_1233,1
self-motivation,ja-motivation,app_sem_exp_1232,1
self-harming,ja-harming,app_sem_exp_1230,1
self-evaluation,ja-evaluation,app_sem_exp_1229,1
self-assessment,ja-assessment,app_sem_exp_1223,1
self-aggression,ja-agresja,app_sem_exp_1222,1
self perception,ja perception,app_sem_exp_1221,1
self image,ja obraz,app_sem_exp_1220,1
self,ja,app_sem_exp_1219,1
schema modes,schema modes,app_sem_exp_1206,1
selective serotonin reuptake inhibitors (ssris),selective serotonin reuptake inhibitors (ssris),app_sem_exp_1217,1
selective attention,selective attention,app_sem_exp_1216,1
seizures,seizures,app_sem_exp_1215,1
second generation antipsychotic,second generation lek przeciwpsychotyczny,app_sem_exp_1213,1
screening,badania przesiewowe,app_sem_exp_1212,1
scientific production,scientific production,app_sem_exp_1211,1
school achievements,school achievements,app_sem_exp_1210,1
schizotypy,schizotypy,app_sem_exp_1209,1
schizoid personality disorder,schizoid personality disorder,app_sem_exp_1207,1
selenium,selenium,app_sem_exp_1218,1
compulsive sexual behavior disorder,compulsive seksualny behavior zaburzenie,app_sem_exp_0282,1
competence,competence,app_sem_exp_0280,1
compassion for others,compassion for others,app_sem_exp_0279,1
compassion,compassion,app_sem_exp_0278,1
comparative studies,comparative studies,app_sem_exp_0277,1
community treatment programme,community leczenie programme,app_sem_exp_0275,1
community social support,community social support,app_sem_exp_0274,1
community psychiatry,psychiatria środowiskowa,app_sem_exp_0273,1
community care,community care,app_sem_exp_0272,1
knowledge,knowledge,app_sem_exp_0739,1
communication competences,communication competences,app_sem_exp_0270,1
communication,communication,app_sem_exp_0269,1
common factor,common czynnik,app_sem_exp_0268,1
collective memory,collective memory,app_sem_exp_0267,1
coherence,coherence,app_sem_exp_0266,1
cognitive triad,poznawczy triad,app_sem_exp_0265,1
cognitive trauma processing,poznawczy trauma processing,app_sem_exp_0264,1
cognitive rigidity,poznawczy rigidity,app_sem_exp_0263,1
cognitive restructuring,poznawczy restructuring,app_sem_exp_0262,1
community,community,app_sem_exp_0271,1
core conflictual relationship theme,core conflictual relacja theme,app_sem_exp_0309,1
coping patterns rating scale,radzenie sobie patterns rating skala,app_sem_exp_0305,1
coping patterns,radzenie sobie patterns,app_sem_exp_0304,1
coping pathophysiology,radzenie sobie pathophysiology,app_sem_exp_0303,1
coping methods,radzenie sobie methods,app_sem_exp_0302,1
convicted sexual offenders,convicted seksualny offenders,app_sem_exp_0300,1
conversational artificial intelligence,conversational artificial intelligence,app_sem_exp_0299,1
control,control,app_sem_exp_0298,1
context and motivation to the treatment,context and motivation to the leczenie,app_sem_exp_0297,1
compulsory treatment/compulsory order,compulsory leczenie/compulsory order,app_sem_exp_0283,1
contact with the patient,contact with the patient,app_sem_exp_0295,1
contact centre,contact centre,app_sem_exp_0294,1
consent capacity,consent capacity,app_sem_exp_0293,1
conners scale,conners skala,app_sem_exp_0292,1
connective tissue diseases,connective tissue diseases,app_sem_exp_0291,1
confirmatory factor analysis,confirmatory czynnik analysis,app_sem_exp_0289,1
conduct disorder,conduct zaburzenie,app_sem_exp_0288,1
conditional release,conditional release,app_sem_exp_0287,1
concentration,concentration,app_sem_exp_0286,1
computer,computer,app_sem_exp_0284,1
containment measures,containment measures,app_sem_exp_0296,1
clinical psychology,clinical psychology,app_sem_exp_0234,1
clinical philosophy,clinical philosophy,app_sem_exp_0233,1
clinical intuition,clinical intuition,app_sem_exp_0231,1
clinical high risk,clinical high ryzyko,app_sem_exp_0230,1
clinical factor,clinical czynnik,app_sem_exp_0229,1
climate change,climate change,app_sem_exp_0228,1
client challenges,client challenges,app_sem_exp_0227,1
classification trees,classification trees,app_sem_exp_0225,1
citalopram,citalopram,app_sem_exp_0223,1
cognitive restraint,poznawczy restraint,app_sem_exp_0261,1
chronic renal failure,przewlekły renal failure,app_sem_exp_0220,1
chronic mentally ill persons,przewlekły mentally ill persons,app_sem_exp_0218,1
chronic low backache,przewlekły low backache,app_sem_exp_0217,1
chronic fatigue,przewlekły fatigue,app_sem_exp_0216,1
chronic disease,przewlekły choroba,app_sem_exp_0215,1
chromosome 17,chromosome 17,app_sem_exp_0214,1
children's rights,children's rights,app_sem_exp_0213,1
children emotional problem,dzieci emocjonalny problem,app_sem_exp_0212,1
childhood maltreatment,childhood maltreatment,app_sem_exp_0208,1
chronically mentally ill,chronically mentally ill,app_sem_exp_0221,1
cognitive psychotherapy,poznawczy psychoterapia,app_sem_exp_0260,1
cognitive processing therapy,poznawczy processing terapia,app_sem_exp_0259,1
cognitive processing of trauma,poznawczy processing of trauma,app_sem_exp_0258,1
cognitive inhibition,poznawczy inhibition,app_sem_exp_0257,1
cognitive flexibility,poznawczy flexibility,app_sem_exp_0255,1
cognitive error rating scale,poznawczy error rating skala,app_sem_exp_0253,1
cognitive dysmetria,poznawczy dysmetria,app_sem_exp_0252,1
cognitive biases,poznawczy biases,app_sem_exp_0250,1
cognitive approach,poznawczy approach,app_sem_exp_0248,1
clinical trial,clinical trial,app_sem_exp_0235,1
codependency,codependency,app_sem_exp_0245,1
code of ethics,code of ethics,app_sem_exp_0244,1
co2,co2,app_sem_exp_0243,1
co-dependent mothers,co-dependent mothers,app_sem_exp_0242,1
co-dependence,co-uzależnienie,app_sem_exp_0241,1
cluster b,cluster b,app_sem_exp_0240,1
cluster a,cluster a,app_sem_exp_0239,1
clozapine,klozapina,app_sem_exp_0238,1
close relationships,close relacje,app_sem_exp_0237,1
clinical utility,clinical utility,app_sem_exp_0236,1
cognitive appraisal,poznawczy appraisal,app_sem_exp_0247,1
diagnosis applied in psychotherapy,diagnoza applied in psychoterapia,app_sem_exp_0388,1
diabulimia,diabulimia,app_sem_exp_0386,1
diabetes type 1,diabetes type 1,app_sem_exp_0385,1
diabetes mellitus,diabetes mellitus,app_sem_exp_0384,1
diabetes distress,diabetes distress,app_sem_exp_0383,1
diabetes,cukrzyca,app_sem_exp_0382,1
developmental dyslexia,developmental dyslexia,app_sem_exp_0381,1
development,development,app_sem_exp_0380,1
detoxification,detoxification,app_sem_exp_0379,1
core conflictual relationship theme method,core conflictual relacja theme method,app_sem_exp_0310,1
detection,detection,app_sem_exp_0377,1
desnos,desnos,app_sem_exp_0376,1
dermatosis,dermatosis,app_sem_exp_0375,1
depression as defence mechanism,depresja as defence mechanism,app_sem_exp_0373,1
depot formulation,depot formulation,app_sem_exp_0372,1
demographic factor,demographic czynnik,app_sem_exp_0369,1
dementia of the alzheimer type,dementia of the alzheimer type,app_sem_exp_0368,1
delusion-proneness,delusion-proneness,app_sem_exp_0366,1
delirium,delirium,app_sem_exp_0364,1
determinants of health,determinants of zdrowie,app_sem_exp_0378,1
dreaming,dreaming,app_sem_exp_0413,1
dream emotions,dream emotions,app_sem_exp_0412,1
drawings,drawings,app_sem_exp_0411,1
drama,drama,app_sem_exp_0409,1
domestic violence,domestic przemoc,app_sem_exp_0407,1
doctor-patient relationship,doctor-patient relacja,app_sem_exp_0406,1
dissociation,dissociation,app_sem_exp_0405,1
disruptive behavior disorders in children and adolescents,disruptive behavior zaburzenia in dzieci and adolescenci,app_sem_exp_0404,1
disorganised attachment,zdezorganizowane przywiązanie,app_sem_exp_0403,1
diagnostic approach,diagnostyczny approach,app_sem_exp_0389,1
disorder,zaburzenie,app_sem_exp_0401,1
discussion with anti-and postpsychiatry,discussion with anti-and postpsychiatry,app_sem_exp_0400,1
discriminate analysis,discriminate analysis,app_sem_exp_0399,1
dimensional models,dimensional models,app_sem_exp_0397,1
dignity,dignity,app_sem_exp_0396,1
dietary supplements,dietary supplements,app_sem_exp_0394,1
diet,diet,app_sem_exp_0393,1
dialectical behavior therapydbt,dialectical behavior therapydbt,app_sem_exp_0392,1
diagnostic tips,diagnostyczny tips,app_sem_exp_0391,1
diagnostic procedures,diagnostyczny procedures,app_sem_exp_0390,1
disorders,zaburzenia,app_sem_exp_0402,1
cross-lagged panel analysis,cross-lagged panel analysis,app_sem_exp_0336,1
cross-cultural study,cross-cultural badanie,app_sem_exp_0335,1
crohn's disease,crohn's choroba,app_sem_exp_0334,1
criminal insanity,criminal insanity,app_sem_exp_0333,1
creutzfeldt-jakob disease,creutzfeldt-jakob choroba,app_sem_exp_0332,1
creative thinking,creative thinking,app_sem_exp_0330,1
course of illness,course of illness,app_sem_exp_0327,1
course,course,app_sem_exp_0326,1
couples therapy,couples terapia,app_sem_exp_0325,1
deliberate self-harm,deliberate ja-harm,app_sem_exp_0363,1
cotard syndrome,cotard zespół,app_sem_exp_0321,1
cost-effectiveness analysis,cost-skuteczność analysis,app_sem_exp_0320,1
cost effectiveness,cost skuteczność,app_sem_exp_0319,1
cortisol awakening response,cortisol awakening response,app_sem_exp_0318,1
cortisol,kortyzol,app_sem_exp_0317,1
corticotropin releasing hormone receptors,corticotropin releasing hormone receptors,app_sem_exp_0316,1
corpus callosum,corpus callosum,app_sem_exp_0315,1
coronary surgery,coronary surgery,app_sem_exp_0314,1
coronary diseases,coronary diseases,app_sem_exp_0313,1
couple therapy,terapia par,app_sem_exp_0324,1
deinstitutionalization,deinstitutionalization,app_sem_exp_0362,1
defense styles,defense styles,app_sem_exp_0360,1
defect,defect,app_sem_exp_0358,1
decision-making capacity,decision-making capacity,app_sem_exp_0357,1
decision-making,decision-making,app_sem_exp_0356,1
decision algorithm,decision algorithm,app_sem_exp_0355,1
death instinct,death instinct,app_sem_exp_0354,1
death,death,app_sem_exp_0353,1
day-care ward,day-care ward,app_sem_exp_0352,1
cso,cso,app_sem_exp_0337,1
dat and comt polymorphism,dat and comt polymorphism,app_sem_exp_0349,1
dark side of personality,dark side of osobowość,app_sem_exp_0348,1
d2 receptors,d2 receptors,app_sem_exp_0347,1
cytokines,cytokiny,app_sem_exp_0346,1
cyp2d,cyp2d,app_sem_exp_0345,1
cyclothymic,cyclothymic,app_sem_exp_0344,1
cyberpsychology,cyberpsychology,app_sem_exp_0343,1
cyberchondria,cyberchondria,app_sem_exp_0342,1
cultural social factor,cultural społeczny czynnik,app_sem_exp_0339,1
cultural differences,cultural differences,app_sem_exp_0338,1
day hospital,day hospital,app_sem_exp_0351,1
appearance orientation,appearance orientation,app_sem_exp_0075,1
apoliprotein e,apoliprotein e,app_sem_exp_0074,1
anxiety sensitivity,lęk sensitivity,app_sem_exp_0072,1
anxiety paradoxical effects,lęk paradoxical effects,app_sem_exp_0071,1
antisocial personality disorder/borderline personality disorder,antisocial zaburzenie osobowości/borderline zaburzenie osobowości,app_sem_exp_0070,1
antisocial disorder,antisocial zaburzenie,app_sem_exp_0069,1
antioxidants,antioxidants,app_sem_exp_0067,1
anticipated and experienced stigma,anticipated and experienced stygmatyzacja,app_sem_exp_0065,1
anti-stigma campaign,anti-stygmatyzacja campaign,app_sem_exp_0064,1
childhood adversity,childhood adversity,app_sem_exp_0207,1
