keyword_concept_polish_final,keyword_concept_polish_3d_aggregated,semantic_3d_action,semantic_3d_confidence,n_records,n_articles,example_raw_keywords
dzieciństwo maltreatment,interwencje terapeutyczne i rehabilitacja,topic_family_aggregation,high,1,1,childhood maltreatment
early interwencja,interwencje terapeutyczne i rehabilitacja,topic_family_aggregation,high,1,1,Early Intervention
emocja focused training for emocja of self-compassion and self-protection,interwencje terapeutyczne i rehabilitacja,topic_family_aggregation,high,1,1,emotion focused training for emotion of self-compassion and self-protection
endurance training,interwencje terapeutyczne i rehabilitacja,topic_family_aggregation,high,1,1,endurance training
factors of compliance with the leczenie regimen,interwencje terapeutyczne i rehabilitacja,topic_family_aggregation,high,1,1,factors of compliance with the treatment regimen
forced leczenie,interwencje terapeutyczne i rehabilitacja,topic_family_aggregation,high,1,1,forced treatment
guided self-management program for pacjenci,interwencje terapeutyczne i rehabilitacja,topic_family_aggregation,high,1,1,guided self-management program for patients
high-interval intensity training,interwencje terapeutyczne i rehabilitacja,topic_family_aggregation,high,1,1,high-interval intensity training
interwencja studies,interwencje terapeutyczne i rehabilitacja,topic_family_aggregation,high,1,1,Intervention studies
language training program,interwencje terapeutyczne i rehabilitacja,topic_family_aggregation,high,1,1,language training program
leczenie compliance,interwencje terapeutyczne i rehabilitacja,topic_family_aggregation,high,1,1,treatment compliance
leczenie outcome follow-up study,interwencje terapeutyczne i rehabilitacja,topic_family_aggregation,high,1,1,treatment outcome follow-up study
leczenie response,interwencje terapeutyczne i rehabilitacja,topic_family_aggregation,high,1,1,Treatment Response
leczenie skuteczność,interwencje terapeutyczne i rehabilitacja,topic_family_aggregation,high,1,1,treatment efficacy
leczenie techniques,interwencje terapeutyczne i rehabilitacja,topic_family_aggregation,high,1,1,treatment techniques
long-term leczenie,interwencje terapeutyczne i rehabilitacja,topic_family_aggregation,high,1,1,long-term treatment
motivational aspects of leczenie,interwencje terapeutyczne i rehabilitacja,topic_family_aggregation,high,1,1,motivational aspects of treatment
multidisciplinary leczenie,interwencje terapeutyczne i rehabilitacja,topic_family_aggregation,high,1,1,Multidisciplinary Treatment
neuroleptic leczenie,interwencje terapeutyczne i rehabilitacja,topic_family_aggregation,high,1,1,neuroleptic treatment
profilaktyczny interwencje,interwencje terapeutyczne i rehabilitacja,topic_family_aggregation,high,1,1,preventive interventions
psychologiczny interwencje,interwencje terapeutyczne i rehabilitacja,topic_family_aggregation,high,1,1,psychological interventions
resiliency training,interwencje terapeutyczne i rehabilitacja,topic_family_aggregation,high,1,1,Resiliency training
student training,interwencje terapeutyczne i rehabilitacja,topic_family_aggregation,high,1,1,student training
jakość życia i dobrostan,jakość życia i dobrostan,topic_family_aggregation,high,21,20,Health related Quality of Life | Oral Health Related Quality of Life | Quality of Life | Quality of Life (QoL) | health -related quality of life | life satisfaction | psychological well-being | psychophysical wellbeing | quality of life | sense of life satisfaction
satysfakcja małżeńska,jakość życia i dobrostan,topic_family_aggregation,high,1,1,marital satisfaction
shape dissatisfaction,jakość życia i dobrostan,topic_family_aggregation,high,1,1,shape dissatisfaction
klasyfikacje w psychiatrii,klasyfikacje diagnostyczne i systemy nozologiczne,topic_family_aggregation,high,3,3,classifications in psychiatry
ICD-11,klasyfikacje diagnostyczne i systemy nozologiczne,topic_family_aggregation,high,2,2,ICD-11
klasyfikacja,klasyfikacje diagnostyczne i systemy nozologiczne,topic_family_aggregation,high,2,2,classification
błędna diagnoza,klasyfikacje diagnostyczne i systemy nozologiczne,topic_family_aggregation,high,1,1,Misdiagnosis
diagnostic approach,klasyfikacje diagnostyczne i systemy nozologiczne,topic_family_aggregation,high,1,1,diagnostic approach
diagnostic procedures,klasyfikacje diagnostyczne i systemy nozologiczne,topic_family_aggregation,high,1,1,diagnostic procedures
diagnostic tips,klasyfikacje diagnostyczne i systemy nozologiczne,topic_family_aggregation,high,1,1,diagnostic tips
dsm,klasyfikacje diagnostyczne i systemy nozologiczne,topic_family_aggregation,high,1,1,DSM
dsm-5,klasyfikacje diagnostyczne i systemy nozologiczne,topic_family_aggregation,high,1,1,DSM-5
dsm5,klasyfikacje diagnostyczne i systemy nozologiczne,topic_family_aggregation,high,1,1,DSM5
icd,klasyfikacje diagnostyczne i systemy nozologiczne,topic_family_aggregation,high,1,1,ICD
klasyfikacja trees,klasyfikacje diagnostyczne i systemy nozologiczne,topic_family_aggregation,high,1,1,classification trees
nozologia,klasyfikacje diagnostyczne i systemy nozologiczne,topic_family_aggregation,high,1,1,nosology
psychodiagnostics,klasyfikacje diagnostyczne i systemy nozologiczne,topic_family_aggregation,high,1,1,psychodiagnostics
kobiety,"kobiety, ciąża i zdrowie okołoporodowe",topic_family_aggregation,high,5,5,women
breastfeeding,"kobiety, ciąża i zdrowie okołoporodowe",topic_family_aggregation,high,1,1,breastfeeding
breastfeeding poczucie własnej skuteczności,"kobiety, ciąża i zdrowie okołoporodowe",topic_family_aggregation,high,1,1,breastfeeding self-efficacy
females without psychiczny disturbance,"kobiety, ciąża i zdrowie okołoporodowe",topic_family_aggregation,high,1,1,females without mental disturbances
woman,"kobiety, ciąża i zdrowie okołoporodowe",topic_family_aggregation,high,1,1,woman
lęk i zaburzenia lękowe,lęk i zaburzenia lękowe,topic_family_aggregation,high,52,50,Anxiety | Health anxiety to Covid-19 | Short Health Anxiety Inventory | Youth Anxiety Measure for DSM-5 | anxiety | anxiety disorder | anxiety disorders | anxiety paradoxical effects | anxiety sensitivity | ecological anxiety
zaburzenie paniczne,lęk i zaburzenia lękowe,topic_family_aggregation,high,7,7,Panic Disorder | agoraphobia with panic attacks | panic disorder
affect phobia model,lęk i zaburzenia lękowe,topic_family_aggregation,high,1,1,affect phobia model
agoraphobia,lęk i zaburzenia lękowe,topic_family_aggregation,high,1,1,agoraphobia
lęk nocny,lęk i zaburzenia lękowe,topic_family_aggregation,high,1,1,night terror
panika,lęk i zaburzenia lękowe,topic_family_aggregation,high,1,1,panic
phobic zaburzenie,lęk i zaburzenia lękowe,topic_family_aggregation,high,1,1,phobic disorders
społeczny phobia,lęk i zaburzenia lękowe,topic_family_aggregation,high,1,1,social phobia
badanie epidemiologiczne,metodologia badań i projekt badawczy,topic_family_aggregation,high,5,5,epidemiological studies | epidemiological study
badanie obserwacyjne follow-up,metodologia badań i projekt badawczy,topic_family_aggregation,high,5,5,follow-up study
studium przypadku,metodologia badań i projekt badawczy,topic_family_aggregation,high,4,4,case study
badania,metodologia badań i projekt badawczy,topic_family_aggregation,high,3,3,research
model integracyjny,metodologia badań i projekt badawczy,topic_family_aggregation,high,2,2,integrative model
1-year follow-up,metodologia badań i projekt badawczy,topic_family_aggregation,high,1,1,1-year follow-up
analiza integralności,metodologia badań i projekt badawczy,topic_family_aggregation,high,1,1,integrity analysis
animal model,metodologia badań i projekt badawczy,topic_family_aggregation,high,1,1,animal model
badanie jakościowe,metodologia badań i projekt badawczy,topic_family_aggregation,high,1,1,qualitative research
badanie lekarskie,metodologia badań i projekt badawczy,topic_family_aggregation,high,1,1,medical examination
bifactor model,metodologia badań i projekt badawczy,topic_family_aggregation,high,1,1,bifactor model
bioelectrical impedance analysis,metodologia badań i projekt badawczy,topic_family_aggregation,high,1,1,bioelectrical impedance analysis
coping metody,metodologia badań i projekt badawczy,topic_family_aggregation,high,1,1,coping methods
core conflictual relationship theme metoda,metodologia badań i projekt badawczy,topic_family_aggregation,high,1,1,Core Conflictual Relationship Theme Method
cost-skuteczność analysis,metodologia badań i projekt badawczy,topic_family_aggregation,high,1,1,cost-effectiveness analysis
cross-cultural badanie,metodologia badań i projekt badawczy,topic_family_aggregation,high,1,1,cross-cultural study
cross-lagged panel analysis,metodologia badań i projekt badawczy,topic_family_aggregation,high,1,1,cross-lagged panel analysis
dimensional models,metodologia badań i projekt badawczy,topic_family_aggregation,high,1,1,Dimensional models
discriminate analysis,metodologia badań i projekt badawczy,topic_family_aggregation,high,1,1,discriminate analysis
epidemiology,metodologia badań i projekt badawczy,topic_family_aggregation,high,1,1,epidemiology
exploratory badanie,metodologia badań i projekt badawczy,topic_family_aggregation,high,1,1,exploratory study
follow-up,metodologia badań i projekt badawczy,topic_family_aggregation,high,1,1,Follow-up
grounded theory metodologia,metodologia badań i projekt badawczy,topic_family_aggregation,high,1,1,grounded theory methodology
growth resources model,metodologia badań i projekt badawczy,topic_family_aggregation,high,1,1,Growth Resources Model
hypnoanalysis,metodologia badań i projekt badawczy,topic_family_aggregation,high,1,1,Hypnoanalysis
kliniczny trial,metodologia badań i projekt badawczy,topic_family_aggregation,high,1,1,clinical trial
longitudinal two-wave badanie,metodologia badań i projekt badawczy,topic_family_aggregation,high,1,1,longitudinal two-wave study
meta-analysis,metodologia badań i projekt badawczy,topic_family_aggregation,high,1,1,meta-analysis
mixed metody,metodologia badań i projekt badawczy,topic_family_aggregation,high,1,1,mixed methods
odcinkowy model wielofazowy,metodologia badań i projekt badawczy,topic_family_aggregation,high,1,1,piecewise multi-phase model
problemy metodologiczne,metodologia badań i projekt badawczy,topic_family_aggregation,high,1,1,methodology problems
process badania,metodologia badań i projekt badawczy,topic_family_aggregation,high,1,1,process research
profilaktyczny metody,metodologia badań i projekt badawczy,topic_family_aggregation,high,1,1,preventive methods
próba niekliniczna,metodologia badań i projekt badawczy,topic_family_aggregation,high,1,1,non-clinical sample
qualitative analysis,metodologia badań i projekt badawczy,topic_family_aggregation,high,1,1,qualitative analysis
qualitative metody,metodologia badań i projekt badawczy,topic_family_aggregation,high,1,1,qualitative methods
quantitative metody,metodologia badań i projekt badawczy,topic_family_aggregation,high,1,1,quantitative methods
sequential badania design,metodologia badań i projekt badawczy,topic_family_aggregation,high,1,1,sequential research design
spatial analysis,metodologia badań i projekt badawczy,topic_family_aggregation,high,1,1,spatial analysis
structural equation modeling,metodologia badań i projekt badawczy,topic_family_aggregation,high,1,1,structural equation modeling
thematic analysis,metodologia badań i projekt badawczy,topic_family_aggregation,high,1,1,thematic analysis
transactional analysis,metodologia badań i projekt badawczy,topic_family_aggregation,high,1,1,transactional analysis
zintegrowana metodologia badań ilościowych i jakościowych,metodologia badań i projekt badawczy,topic_family_aggregation,high,1,1,integrated quantitative and qualitative research methodology
Indie,"migracja, mniejszości i kontekst międzykulturowy",topic_family_aggregation,high,3,3,India
culture,"migracja, mniejszości i kontekst międzykulturowy",topic_family_aggregation,high,2,2,culture
Iran,"migracja, mniejszości i kontekst międzykulturowy",topic_family_aggregation,high,1,1,Iran
Nigeria,"migracja, mniejszości i kontekst międzykulturowy",topic_family_aggregation,high,1,1,Nigeria
cultural differences,"migracja, mniejszości i kontekst międzykulturowy",topic_family_aggregation,high,1,1,cultural differences
cultural społeczny czynnik,"migracja, mniejszości i kontekst międzykulturowy",topic_family_aggregation,high,1,1,cultural social factors
voluntary and forced migrants,"migracja, mniejszości i kontekst międzykulturowy",topic_family_aggregation,high,1,1,voluntary and forced migrants
zaburzenie nerwicowe,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,6,6,neurotic disorder | neurotic disorders
markery biologiczne i neuroobrazowanie,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,4,4,EEG-biofeedback | fMRI | magnetic resonance imaging | proton magnetic resonance spectroscopy
genetyka,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,3,3,genetics
neuronauka,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,3,3,neuroscience
dopamina,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,2,2,dopamine
neurobiologia,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,2,2,neurobiology
neuropsychologiczny tests,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,2,2,neuropsychological tests
neurotic objaw,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,2,2,neurotic symptoms
oś jelitowo-mózgowa,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,2,2,gut-brain axis
5-ht1a receptors,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,5-HT1A receptors
NMDA,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,NMDA
agenesis of carpos callosum,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,agenesis of carpos callosum
amyloid,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,amyloid
anti-n methyl-d-aspartate receptor antibodies,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,Anti-N Methyl-D-Aspartate Receptor Antibodies
autoimmune disease,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,autoimmune disease
autoimmune encephalitis,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,Autoimmune Encephalitis
brain-behavioral funkcja,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,brain-behavioral functions
brain-derived,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,brain-derived
brain-derived neurotrophic czynnik (bdnf) gene,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,Brain-Derived Neurotrophic Factor (BDNF) gene
brainspotting terapia,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,Brainspotting therapy
brca gene mutation,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,BRCA gene mutation
corticotropin releasing hormone receptors,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,corticotropin releasing hormone receptors
cortisol,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,cortisol
cortisol awakening response,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,cortisol awakening response
czynnik neurotroficzny BDNF,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,neurotrophin factor (BDNF)
d2 receptors,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,D2 receptors
gen PAX-6,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,PAX - 6 gene
gene,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,gene
gene mutation,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,Gene mutation
gene polimorfizm,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,gene polymorphism
gene-environment interaction,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,gene-environment interaction
general czynnik specification,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,General Factor Specification
general poczucie własnej skuteczności,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,general self-efficacy
genes,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,genes
kinaza receptora neurotroficznej tyrozyny,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,Neurotrophic Tyrosine Receptor Kinase
konflikt nerwicowy,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,neurotic conflict
nerwiakowłókniakowatość typu 1,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,Neurofibromatosis 1
nerwica,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,Neurosis
neuromodulacja,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,neuromodulation
neuroprzekaźnik,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,neurotransmitter
neuropsychiatria,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,neuropsychiatry
neuropsychiatryczny disease,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,neuropsychiatric disease
neuropsychiatryczny manifestations,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,Neuropsychiatric Manifestations
neuropsychologiczny objaw,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,neuropsychological symptoms
neurotic zaburzenia objaw,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,neurotic disorders symptoms
neurotransmisja,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,Neurotransmission
neurotrofiny,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,neurotrophins
osteogenesis imperfecta,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,Osteogenesis imperfect
serotonin reuptake inhibitors,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,serotonin reuptake inhibitors
snap-25 gene,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,SNAP-25 gene
stan zapalny,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,inflammation
transgenerational autonomia,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,transgenerational autonomy
verb generation,"neurobiologia, genetyka i biomarkery",topic_family_aggregation,high,1,1,verb generation
dynamika objawów,objawy i nasilenie objawów,topic_family_aggregation,high,3,3,symptom dynamics
deficyt,objawy i nasilenie objawów,topic_family_aggregation,high,2,2,deficit
psychologiczny objaw,objawy i nasilenie objawów,topic_family_aggregation,high,2,2,Psychological symptoms | psychological symptoms
psycho-patologiczny objaw,objawy i nasilenie objawów,topic_family_aggregation,high,1,1,psycho-pathological symptoms
symptomatic dimensions,objawy i nasilenie objawów,topic_family_aggregation,high,1,1,symptomatic dimensions
CIDI,"ocena kliniczna, psychometria i narzędzia pomiarowe",topic_family_aggregation,high,2,2,CIDI
CPRS,"ocena kliniczna, psychometria i narzędzia pomiarowe",topic_family_aggregation,high,2,2,CPRS
właściwości psychometryczne,"ocena kliniczna, psychometria i narzędzia pomiarowe",topic_family_aggregation,high,2,2,psychometric properties
asrq,"ocena kliniczna, psychometria i narzędzia pomiarowe",topic_family_aggregation,high,1,1,ASRQ
confirmatory czynnik analysis,"ocena kliniczna, psychometria i narzędzia pomiarowe",topic_family_aggregation,high,1,1,confirmatory factor analysis
czynnik analysis,"ocena kliniczna, psychometria i narzędzia pomiarowe",topic_family_aggregation,high,1,1,Factor Analysis
exploratory czynnik analysis,"ocena kliniczna, psychometria i narzędzia pomiarowe",topic_family_aggregation,high,1,1,exploratory factor analysis
postawa measurement,"ocena kliniczna, psychometria i narzędzia pomiarowe",topic_family_aggregation,high,1,1,Attitude Measurement
psychologiczny measurement,"ocena kliniczna, psychometria i narzędzia pomiarowe",topic_family_aggregation,high,1,1,psychological measurement
psychometric evaluation,"ocena kliniczna, psychometria i narzędzia pomiarowe",topic_family_aggregation,high,1,1,Psychometric Evaluation
psychometric scales,"ocena kliniczna, psychometria i narzędzia pomiarowe",topic_family_aggregation,high,1,1,psychometric scales
psychometric value,"ocena kliniczna, psychometria i narzędzia pomiarowe",topic_family_aggregation,high,1,1,Psychometric Value
rating scales,"ocena kliniczna, psychometria i narzędzia pomiarowe",topic_family_aggregation,high,1,1,rating scales
scales,"ocena kliniczna, psychometria i narzędzia pomiarowe",topic_family_aggregation,high,1,1,scales
day hospital,organizacja opieki psychiatrycznej,topic_family_aggregation,high,1,1,day hospital
home care services,organizacja opieki psychiatrycznej,topic_family_aggregation,high,1,1,home care services
hospitalisations,organizacja opieki psychiatrycznej,topic_family_aggregation,high,1,1,hospitalisations
incapacity for service,organizacja opieki psychiatrycznej,topic_family_aggregation,high,1,1,incapacity for service
opieka paliatywna,organizacja opieki psychiatrycznej,topic_family_aggregation,high,1,1,palliative care
opieka stomatologiczna,organizacja opieki psychiatrycznej,topic_family_aggregation,high,1,1,oral care
psychiatria środowiskowa,organizacja opieki psychiatrycznej,topic_family_aggregation,high,1,1,community psychiatry
psychiatryczny care,organizacja opieki psychiatrycznej,topic_family_aggregation,high,1,1,psychiatric care
psychiatryczny outpatients,organizacja opieki psychiatrycznej,topic_family_aggregation,high,1,1,Psychiatric Outpatients
rehospitalisation,organizacja opieki psychiatrycznej,topic_family_aggregation,high,1,1,rehospitalisation
service users,organizacja opieki psychiatrycznej,topic_family_aggregation,high,1,1,service users
UHR,pierwszy epizod i stany wysokiego ryzyka,topic_family_aggregation,high,2,2,UHR | uhr
pierwszy epizod,pierwszy epizod i stany wysokiego ryzyka,topic_family_aggregation,high,2,2,first-episode
poradnictwo,poradnictwo i konsultacja psychologiczna,topic_family_aggregation,high,2,2,counseling
effective counselor,poradnictwo i konsultacja psychologiczna,topic_family_aggregation,high,1,1,effective counselor
postawa,"postawy, stigma i przekonania",topic_family_aggregation,high,7,7,attitude
dysfunctional postawa,"postawy, stigma i przekonania",topic_family_aggregation,high,2,2,dysfunctional attitude | dysfunctional attitudes
dysfunctional beliefs,"postawy, stigma i przekonania",topic_family_aggregation,high,1,1,dysfunctional beliefs
knowledge,"postawy, stigma i przekonania",topic_family_aggregation,high,1,1,knowledge
metacognitive beliefs,"postawy, stigma i przekonania",topic_family_aggregation,high,1,1,Metacognitive beliefs
postawy,"postawy, stigma i przekonania",topic_family_aggregation,high,1,1,attitudes
stigmatization,"postawy, stigma i przekonania",topic_family_aggregation,high,1,1,stigmatization
współpraca w leczeniu,"praca, edukacja i funkcjonowanie zawodowe",topic_family_aggregation,high,5,5,compliance
edukacja,"praca, edukacja i funkcjonowanie zawodowe",topic_family_aggregation,high,3,3,education
healthcare professionals,"praca, edukacja i funkcjonowanie zawodowe",topic_family_aggregation,high,1,1,healthcare professionals
pielęgniarki,"praca, edukacja i funkcjonowanie zawodowe",topic_family_aggregation,high,1,1,nurses
profesjonaliści,"praca, edukacja i funkcjonowanie zawodowe",topic_family_aggregation,high,1,1,professionals
psychiatryczny pielęgniarki,"praca, edukacja i funkcjonowanie zawodowe",topic_family_aggregation,high,1,1,psychiatric nurses
remote working,"praca, edukacja i funkcjonowanie zawodowe",topic_family_aggregation,high,1,1,remote working
working hours,"praca, edukacja i funkcjonowanie zawodowe",topic_family_aggregation,high,1,1,working hours
współpraca interdyscyplinarna,"praca, edukacja i funkcjonowanie zawodowe",topic_family_aggregation,high,1,1,interdisciplinary cooperation
zdrowie care workers,"praca, edukacja i funkcjonowanie zawodowe",topic_family_aggregation,high,1,1,Health care workers
zdrowie care workers (hcws),"praca, edukacja i funkcjonowanie zawodowe",topic_family_aggregation,high,1,1,health care workers (hcws)
zdrowie workers,"praca, edukacja i funkcjonowanie zawodowe",topic_family_aggregation,high,1,1,health workers
profilaktyka,profilaktyka i promocja zdrowia,topic_family_aggregation,high,2,2,prevention
zdrowie behavior,profilaktyka i promocja zdrowia,topic_family_aggregation,high,2,2,health behavior | health behaviour
profilaktyczny operations,profilaktyka i promocja zdrowia,topic_family_aggregation,high,1,1,preventive operations
profilaktyka and control,profilaktyka i promocja zdrowia,topic_family_aggregation,high,1,1,prevention and control
przestrzeganie zaleceń,przestrzeganie zaleceń i współpraca w leczeniu,topic_family_aggregation,high,2,2,adherence
nieprzestrzeganie zaleceń,przestrzeganie zaleceń i współpraca w leczeniu,topic_family_aggregation,high,1,1,nonadherence
przestrzeganie protokołu,przestrzeganie zaleceń i współpraca w leczeniu,topic_family_aggregation,high,1,1,Protocol compliance
psychiatria,psychiatria i zdrowie psychiczne,topic_family_aggregation,high,9,9,Psychiatry | psychiatry
american psychiatryczny association,psychiatria i zdrowie psychiczne,topic_family_aggregation,high,1,1,American Psychiatric Association
dynamic psychiatry,psychiatria i zdrowie psychiczne,topic_family_aggregation,high,1,1,dynamic psychiatry
east european psychiatrists,psychiatria i zdrowie psychiczne,topic_family_aggregation,high,1,1,east European psychiatrists
psychiatria zorientowana na osobę,psychiatria i zdrowie psychiczne,topic_family_aggregation,high,1,1,person-oriented psychiatry
psychiatrist,psychiatria i zdrowie psychiczne,topic_family_aggregation,high,1,1,psychiatrist
psychiatryczny disability,psychiatria i zdrowie psychiczne,topic_family_aggregation,high,1,1,psychiatric disability
psychiatryczny kliniczny care,psychiatria i zdrowie psychiczne,topic_family_aggregation,high,1,1,psychiatric clinical care
psychopathological dimensions,psychiatria i zdrowie psychiczne,topic_family_aggregation,high,1,1,psychopathological dimensions
psychoanaliza i podejście psychodynamiczne,psychoanaliza i podejście psychodynamiczne,topic_family_aggregation,high,11,11,Psychoanalytic training | Psychodynamic therapy | psychoanalysis | psychoanalytic instinct theory | psychodynamic therapists
mechanizm obronny,psychoanaliza i podejście psychodynamiczne,topic_family_aggregation,high,6,6,defence mechanisms | defense mechanisms
CCRT,psychoanaliza i podejście psychodynamiczne,topic_family_aggregation,high,2,2,CCRT
Davanloo,psychoanaliza i podejście psychodynamiczne,topic_family_aggregation,high,2,2,Davanloo
mentalizacja,psychoanaliza i podejście psychodynamiczne,topic_family_aggregation,high,2,2,mentalization
freud,psychoanaliza i podejście psychodynamiczne,topic_family_aggregation,high,1,1,Freud
psychodynamics,psychoanaliza i podejście psychodynamiczne,topic_family_aggregation,high,1,1,psychodynamics
relacje z obiektem,psychoanaliza i podejście psychodynamiczne,topic_family_aggregation,high,1,1,object relations
kreatywność,psychologia kliniczna i koncepcje psychologiczne,topic_family_aggregation,high,4,4,creativity
elastyczność,psychologia kliniczna i koncepcje psychologiczne,topic_family_aggregation,high,3,3,flexibility
poczucie koherencji,psychologia kliniczna i koncepcje psychologiczne,topic_family_aggregation,high,3,3,sense of coherence
psychofizjologia,psychologia kliniczna i koncepcje psychologiczne,topic_family_aggregation,high,3,3,psychophysiology
autonomia,psychologia kliniczna i koncepcje psychologiczne,topic_family_aggregation,high,2,2,autonomy
impulsywność,psychologia kliniczna i koncepcje psychologiczne,topic_family_aggregation,high,2,2,impulsivity
psychology,psychologia kliniczna i koncepcje psychologiczne,topic_family_aggregation,high,2,2,psychology
autonomia osobista,psychologia kliniczna i koncepcje psychologiczne,topic_family_aggregation,high,1,1,personal autonomy
kliniczny psychology,psychologia kliniczna i koncepcje psychologiczne,topic_family_aggregation,high,1,1,clinical psychology
psychologiczny assistance,psychologia kliniczna i koncepcje psychologiczne,topic_family_aggregation,high,1,1,Psychological Assistance
psychologiczny counselors,psychologia kliniczna i koncepcje psychologiczne,topic_family_aggregation,high,1,1,psychological counselors
psychologiczny flow,psychologia kliniczna i koncepcje psychologiczne,topic_family_aggregation,high,1,1,psychological Flow
psychologiczny help,psychologia kliniczna i koncepcje psychologiczne,topic_family_aggregation,high,1,1,psychological help
psychologiczny immunity,psychologia kliniczna i koncepcje psychologiczne,topic_family_aggregation,high,1,1,Psychological Immunity
psychologiczny resources,psychologia kliniczna i koncepcje psychologiczne,topic_family_aggregation,high,1,1,psychological resources
psychologiczny traits,psychologia kliniczna i koncepcje psychologiczne,topic_family_aggregation,high,1,1,psychological traits
psychologiczny zaburzenie,psychologia kliniczna i koncepcje psychologiczne,topic_family_aggregation,high,1,1,psychological disorders
przeciwprzeniesienie,psychoterapia i proces terapeutyczny,topic_family_aggregation,high,2,2,counter-transference
transference,psychoterapia i proces terapeutyczny,topic_family_aggregation,high,2,2,transference
transference-countertransference relationship,psychoterapia i proces terapeutyczny,topic_family_aggregation,high,1,1,transference-countertransference relationship
religijność,"religia, duchowość i egzystencja",topic_family_aggregation,high,2,2,religiousness
duchowość,"religia, duchowość i egzystencja",topic_family_aggregation,high,1,1,spirituality
religion,"religia, duchowość i egzystencja",topic_family_aggregation,high,1,1,religion
sens życia,"religia, duchowość i egzystencja",topic_family_aggregation,high,1,1,meaning in life
systemy znaczeń,"religia, duchowość i egzystencja",topic_family_aggregation,high,1,1,meaning systems
the centrality of religiosity,"religia, duchowość i egzystencja",topic_family_aggregation,high,1,1,the centrality of religiosity
rodzeństwo,"rodzina, rodzeństwo i bliscy",topic_family_aggregation,high,4,4,siblings
krewni pierwszego stopnia,"rodzina, rodzeństwo i bliscy",topic_family_aggregation,high,2,2,first-degree relatives
czynnik ryzyka,"ryzyko, czynniki ochronne i predyktory",topic_family_aggregation,high,5,5,risk factor | risk factors
common czynnik,"ryzyko, czynniki ochronne i predyktory",topic_family_aggregation,high,1,1,common factors
czynnik analyses,"ryzyko, czynniki ochronne i predyktory",topic_family_aggregation,high,1,1,factor analyses
