term_norm_for_audit,audit_category,audit_reason,include_in_semantic_review,manual_override,manual_override_note
ogden thomas ogden,candidate_concept,kept_for_semantic_review,True,,
one,candidate_concept,kept_for_semantic_review,True,,
one another,candidate_concept,kept_for_semantic_review,True,,
one hand,candidate_concept,kept_for_semantic_review,True,,
one's own,candidate_concept,kept_for_semantic_review,True,,
online,candidate_concept,kept_for_semantic_review,True,,
online e-mail notification,candidate_concept,kept_for_semantic_review,True,,
online like know,candidate_concept,kept_for_semantic_review,True,,
online runninghead e-mail,technical_artifact,explicit_artifact_rule,False,,
online service now,candidate_concept,kept_for_semantic_review,True,,
only,candidate_concept,kept_for_semantic_review,True,,
only one,candidate_concept,kept_for_semantic_review,True,,
orcid org,candidate_concept,kept_for_semantic_review,True,,
order,candidate_concept,kept_for_semantic_review,True,,
org,candidate_concept,kept_for_semantic_review,True,,
org https orcid,candidate_concept,kept_for_semantic_review,True,,
other,candidate_concept,kept_for_semantic_review,True,,
other hand,candidate_concept,kept_for_semantic_review,True,,
others,candidate_concept,kept_for_semantic_review,True,,
otto kernberg,candidate_concept,kept_for_semantic_review,True,,
otto kernberg otto,candidate_concept,kept_for_semantic_review,True,,
out,candidate_concept,kept_for_semantic_review,True,,
outcome,candidate_concept,kept_for_semantic_review,True,,
over,candidate_concept,kept_for_semantic_review,True,,
own,candidate_concept,kept_for_semantic_review,True,,
park avenue new,candidate_concept,kept_for_semantic_review,True,,
park west,candidate_concept,kept_for_semantic_review,True,,
park west new,candidate_concept,kept_for_semantic_review,True,,
particular,candidate_concept,kept_for_semantic_review,True,,
past,candidate_concept,kept_for_semantic_review,True,,
patient,background_domain_term,explicit_background_domain_rule,False,,
patient analyst,background_domain_term,explicit_background_domain_rule,False,,
patient's,candidate_concept,kept_for_semantic_review,True,,
patients,background_domain_term,explicit_background_domain_rule,False,,
people,candidate_concept,kept_for_semantic_review,True,,
person,candidate_concept,kept_for_semantic_review,True,,
personal,candidate_concept,kept_for_semantic_review,True,,
personal supervising analyst,candidate_concept,kept_for_semantic_review,True,,
personality,candidate_concept,kept_for_semantic_review,True,,
personality disorder,candidate_concept,kept_for_semantic_review,True,,
personality disorders,candidate_concept,kept_for_semantic_review,True,,
personality organization,candidate_concept,kept_for_semantic_review,True,,
peter fonagy,candidate_concept,kept_for_semantic_review,True,,
phd,candidate_concept,kept_for_semantic_review,True,,
phd lauren levine,candidate_concept,kept_for_semantic_review,True,,
phenomena,candidate_concept,kept_for_semantic_review,True,,
place,candidate_concept,kept_for_semantic_review,True,,
play,candidate_concept,kept_for_semantic_review,True,,
pleasure principle,candidate_concept,kept_for_semantic_review,True,,
pointed out,candidate_concept,kept_for_semantic_review,True,,
political,candidate_concept,kept_for_semantic_review,True,,
possible,candidate_concept,kept_for_semantic_review,True,,
postdoctoral,candidate_concept,kept_for_semantic_review,True,,
postdoctoral program,candidate_concept,kept_for_semantic_review,True,,
postdoctoral program psychoanalysis,candidate_concept,kept_for_semantic_review,True,,
postdoctoral program psychotherapy,candidate_concept,kept_for_semantic_review,True,,
poster session american,candidate_concept,kept_for_semantic_review,True,,
practice,background_domain_term,explicit_background_domain_rule,False,,
practice new,candidate_concept,kept_for_semantic_review,True,,
practice new york,candidate_concept,kept_for_semantic_review,True,,
primal scene,candidate_concept,kept_for_semantic_review,True,,
primary,candidate_concept,kept_for_semantic_review,True,,
primary process,candidate_concept,kept_for_semantic_review,True,,
private,candidate_concept,kept_for_semantic_review,True,,
private practice,candidate_concept,kept_for_semantic_review,True,,
private practice new,candidate_concept,kept_for_semantic_review,True,,
problem,candidate_concept,kept_for_semantic_review,True,,
problems,candidate_concept,kept_for_semantic_review,True,,
process,background_domain_term,explicit_background_domain_rule,False,,
process runninghead,technical_artifact,explicit_artifact_rule,False,,
processes,background_domain_term,explicit_background_domain_rule,False,,
professional,candidate_concept,kept_for_semantic_review,True,,
professor,candidate_concept,kept_for_semantic_review,True,,
professor psychiatry,candidate_concept,kept_for_semantic_review,True,,
professor psychology,candidate_concept,kept_for_semantic_review,True,,
program,candidate_concept,kept_for_semantic_review,True,,
program psychoanalysis psychotherapy,candidate_concept,kept_for_semantic_review,True,,
program psychotherapy,candidate_concept,kept_for_semantic_review,True,,
program psychotherapy psychoanalysis,candidate_concept,kept_for_semantic_review,True,,
projective identification,candidate_concept,kept_for_semantic_review,True,,
psy,candidate_concept,kept_for_semantic_review,True,,
psychiatric,candidate_concept,kept_for_semantic_review,True,,
psychiatry,candidate_concept,kept_for_semantic_review,True,,
psychiatry behavioral sciences,candidate_concept,kept_for_semantic_review,True,,
psychiatry columbia university,candidate_concept,kept_for_semantic_review,True,,
psychiatry harvard medical,candidate_concept,kept_for_semantic_review,True,,
psychic,candidate_concept,kept_for_semantic_review,True,,
psychic change,candidate_concept,kept_for_semantic_review,True,,
psychic reality,candidate_concept,kept_for_semantic_review,True,,
psychic structure,candidate_concept,kept_for_semantic_review,True,,
psycho-analysis,candidate_concept,kept_for_semantic_review,True,,
psycho-analytic,candidate_concept,kept_for_semantic_review,True,,
psycho-analytical,candidate_concept,kept_for_semantic_review,True,,
psycho-analytical society,candidate_concept,kept_for_semantic_review,True,,
psychoanalysis,background_domain_term,explicit_background_domain_rule,False,,
psychoanalysis los angeles,candidate_concept,kept_for_semantic_review,True,,
psychoanalysis new york,candidate_concept,kept_for_semantic_review,True,,
psychoanalysis psychoanalytic,candidate_concept,kept_for_semantic_review,True,,
psychoanalysis psychoanalytic psychotherapy,candidate_concept,kept_for_semantic_review,True,,
psychoanalysis psychotherapy,candidate_concept,kept_for_semantic_review,True,,
psychoanalysis runninghead,technical_artifact,explicit_artifact_rule,False,,
psychoanalyst,candidate_concept,kept_for_semantic_review,True,,
psychoanalysts,candidate_concept,kept_for_semantic_review,True,,
psychoanalytic,background_domain_term,explicit_background_domain_rule,False,,
psychoanalytic association,candidate_concept,kept_for_semantic_review,True,,
psychoanalytic association december,candidate_concept,kept_for_semantic_review,True,,
psychoanalytic association new,candidate_concept,kept_for_semantic_review,True,,
psychoanalytic dialogues,candidate_concept,kept_for_semantic_review,True,,
psychoanalytic education,candidate_concept,kept_for_semantic_review,True,,
psychoanalytic institute,candidate_concept,kept_for_semantic_review,True,,
psychoanalytic institute northern,candidate_concept,kept_for_semantic_review,True,,
psychoanalytic literature,candidate_concept,kept_for_semantic_review,True,,
psychoanalytic practice,background_domain_term,explicit_background_domain_rule,False,,
psychoanalytic process,background_domain_term,explicit_background_domain_rule,False,,
psychoanalytic psychotherapy,background_domain_term,explicit_background_domain_rule,False,,
psychoanalytic research,candidate_concept,kept_for_semantic_review,True,,
psychoanalytic self psychology,candidate_concept,kept_for_semantic_review,True,,
psychoanalytic situation,candidate_concept,kept_for_semantic_review,True,,
psychoanalytic society,candidate_concept,kept_for_semantic_review,True,,
psychoanalytic society institute,candidate_concept,kept_for_semantic_review,True,,
psychoanalytic technique,candidate_concept,kept_for_semantic_review,True,,
psychoanalytic theories,candidate_concept,kept_for_semantic_review,True,,
psychoanalytic theory,background_domain_term,explicit_background_domain_rule,False,,
psychoanalytic theory practice,candidate_concept,kept_for_semantic_review,True,,
psychoanalytic theory technique,candidate_concept,kept_for_semantic_review,True,,
psychoanalytic therapy,candidate_concept,kept_for_semantic_review,True,,
psychoanalytic thinking,candidate_concept,kept_for_semantic_review,True,,
psychoanalytic thought,candidate_concept,kept_for_semantic_review,True,,
psychoanalytic training,candidate_concept,kept_for_semantic_review,True,,
psychoanalytic training research,candidate_concept,kept_for_semantic_review,True,,
psychoanalytic treatment,background_domain_term,explicit_background_domain_rule,False,,
psychoanalytic understanding,candidate_concept,kept_for_semantic_review,True,,
psychoanalytic work,background_domain_term,explicit_background_domain_rule,False,,
psychodynamic,candidate_concept,kept_for_semantic_review,True,,
psychodynamic diagnostic manual,candidate_concept,kept_for_semantic_review,True,,
psychodynamic psychotherapy,candidate_concept,kept_for_semantic_review,True,,
psychological,candidate_concept,kept_for_semantic_review,True,,
psychology,candidate_concept,kept_for_semantic_review,True,,
psychopathology,candidate_concept,kept_for_semantic_review,True,,
psychosis,candidate_concept,kept_for_semantic_review,True,,
psychotherapeutic,background_domain_term,explicit_background_domain_rule,False,,
psychotherapy,background_domain_term,explicit_background_domain_rule,False,,
psychotherapy psychoanalysis,candidate_concept,kept_for_semantic_review,True,,
psychotherapy runninghead,technical_artifact,explicit_artifact_rule,False,,
psychotic,candidate_concept,kept_for_semantic_review,True,,
public,candidate_concept,kept_for_semantic_review,True,,
published,candidate_concept,kept_for_semantic_review,True,,
question,candidate_concept,kept_for_semantic_review,True,,
quite,candidate_concept,kept_for_semantic_review,True,,
race,candidate_concept,kept_for_semantic_review,True,,
rachel blass,candidate_concept,kept_for_semantic_review,True,,
racial,candidate_concept,kept_for_semantic_review,True,,
rangell leo rangell,candidate_concept,kept_for_semantic_review,True,,
rather,candidate_concept,kept_for_semantic_review,True,,
read,candidate_concept,kept_for_semantic_review,True,,
reality,candidate_concept,kept_for_semantic_review,True,,
recent,candidate_concept,kept_for_semantic_review,True,,
recent years,candidate_concept,kept_for_semantic_review,True,,
reflective functioning,candidate_concept,kept_for_semantic_review,True,,
related,candidate_concept,kept_for_semantic_review,True,,
relation,candidate_concept,kept_for_semantic_review,True,,
relation between,candidate_concept,kept_for_semantic_review,True,,
relational,candidate_concept,kept_for_semantic_review,True,,
relational psychoanalysis,candidate_concept,kept_for_semantic_review,True,,
relational psychoanalysis psychotherapy,candidate_concept,kept_for_semantic_review,True,,
relations,candidate_concept,kept_for_semantic_review,True,,
relationship,candidate_concept,kept_for_semantic_review,True,,
relationship between,candidate_concept,kept_for_semantic_review,True,,
relationships,candidate_concept,kept_for_semantic_review,True,,
repetition compulsion,candidate_concept,kept_for_semantic_review,True,,
representations,candidate_concept,kept_for_semantic_review,True,,
research,candidate_concept,kept_for_semantic_review,True,,
response,candidate_concept,kept_for_semantic_review,True,,
results,candidate_concept,kept_for_semantic_review,True,,
road,candidate_concept,kept_for_semantic_review,True,,
road london,candidate_concept,kept_for_semantic_review,True,,
road white plains,candidate_concept,kept_for_semantic_review,True,,
robert,candidate_concept,kept_for_semantic_review,True,,
robert wallerstein,candidate_concept,kept_for_semantic_review,True,,
robert wallerstein robert,candidate_concept,kept_for_semantic_review,True,,
routledge,candidate_concept,kept_for_semantic_review,True,,
roy schafer,candidate_concept,kept_for_semantic_review,True,,
roy schafer roy,candidate_concept,kept_for_semantic_review,True,,
runninghead,technical_artifact,explicit_artifact_rule,False,,
runninghead e-mail notification,technical_artifact,explicit_artifact_rule,False,,
runninghead psychoanalysis,technical_artifact,explicit_artifact_rule,False,,
runninghead psychoanalytic,technical_artifact,explicit_artifact_rule,False,,
said,candidate_concept,kept_for_semantic_review,True,,
same,candidate_concept,kept_for_semantic_review,True,,
same time,candidate_concept,kept_for_semantic_review,True,,
san,candidate_concept,kept_for_semantic_review,True,,
san francisco,candidate_concept,kept_for_semantic_review,True,,
san francisco california,candidate_concept,kept_for_semantic_review,True,,
san francisco center,candidate_concept,kept_for_semantic_review,True,,
san francisco e-mail,candidate_concept,kept_for_semantic_review,True,,
san francisco psychoanalytic,candidate_concept,kept_for_semantic_review,True,,
san francisco usa,candidate_concept,kept_for_semantic_review,True,,
say,candidate_concept,kept_for_semantic_review,True,,
schafer roy schafer,candidate_concept,kept_for_semantic_review,True,,
school,candidate_concept,kept_for_semantic_review,True,,
school medicine,candidate_concept,kept_for_semantic_review,True,,
school professional psychology,candidate_concept,kept_for_semantic_review,True,,
scientific,candidate_concept,kept_for_semantic_review,True,,
second,candidate_concept,kept_for_semantic_review,True,,
self,candidate_concept,kept_for_semantic_review,True,,
self object,candidate_concept,kept_for_semantic_review,True,,
self object representations,candidate_concept,kept_for_semantic_review,True,,
self psychology,candidate_concept,kept_for_semantic_review,True,,
sense,candidate_concept,kept_for_semantic_review,True,,
sense self,candidate_concept,kept_for_semantic_review,True,,
service,candidate_concept,kept_for_semantic_review,True,,
service now available,candidate_concept,kept_for_semantic_review,True,,
services,candidate_concept,kept_for_semantic_review,True,,
session american psychoanalytic,candidate_concept,kept_for_semantic_review,True,,
setting,candidate_concept,kept_for_semantic_review,True,,
sexual,candidate_concept,kept_for_semantic_review,True,,
sexual boundary violations,candidate_concept,kept_for_semantic_review,True,,
sexuality,candidate_concept,kept_for_semantic_review,True,,
shall,candidate_concept,kept_for_semantic_review,True,,
sigmund,candidate_concept,kept_for_semantic_review,True,,
sigmund freud,candidate_concept,kept_for_semantic_review,True,,
sigmund freud sigmund,candidate_concept,kept_for_semantic_review,True,,
significance,candidate_concept,kept_for_semantic_review,True,,
significant,candidate_concept,kept_for_semantic_review,True,,
since,candidate_concept,kept_for_semantic_review,True,,
situation,candidate_concept,kept_for_semantic_review,True,,
social,candidate_concept,kept_for_semantic_review,True,,
society,candidate_concept,kept_for_semantic_review,True,,
society institute,candidate_concept,kept_for_semantic_review,True,,
space,candidate_concept,kept_for_semantic_review,True,,
special,candidate_concept,kept_for_semantic_review,True,,
specific,candidate_concept,kept_for_semantic_review,True,,
staff,candidate_concept,kept_for_semantic_review,True,,
state,candidate_concept,kept_for_semantic_review,True,,
state university new,candidate_concept,kept_for_semantic_review,True,,
states,candidate_concept,kept_for_semantic_review,True,,
stephen,candidate_concept,kept_for_semantic_review,True,,
stephen mitchell,candidate_concept,kept_for_semantic_review,True,,
stephen mitchell center,candidate_concept,kept_for_semantic_review,True,,
stephen seligman,candidate_concept,kept_for_semantic_review,True,,
steven,candidate_concept,kept_for_semantic_review,True,,
steven cooper,candidate_concept,kept_for_semantic_review,True,,
steven cooper steven,candidate_concept,kept_for_semantic_review,True,,
steven roose,candidate_concept,kept_for_semantic_review,True,,
still,candidate_concept,kept_for_semantic_review,True,,
street,candidate_concept,kept_for_semantic_review,True,,
street new,candidate_concept,kept_for_semantic_review,True,,
street new haven,candidate_concept,kept_for_semantic_review,True,,
street new york,candidate_concept,kept_for_semantic_review,True,,
street san,candidate_concept,kept_for_semantic_review,True,,
street san francisco,candidate_concept,kept_for_semantic_review,True,,
street suite,candidate_concept,kept_for_semantic_review,True,,
street suite new,candidate_concept,kept_for_semantic_review,True,,
structure,candidate_concept,kept_for_semantic_review,True,,
subject,candidate_concept,kept_for_semantic_review,True,,
subjective experience,candidate_concept,kept_for_semantic_review,True,,
subjectivity,candidate_concept,kept_for_semantic_review,True,,
submitted,candidate_concept,kept_for_semantic_review,True,,
suite,candidate_concept,kept_for_semantic_review,True,,
suite new,candidate_concept,kept_for_semantic_review,True,,
suite new york,candidate_concept,kept_for_semantic_review,True,,
summary,candidate_concept,kept_for_semantic_review,True,,
supervising,candidate_concept,kept_for_semantic_review,True,,
supervising analyst,candidate_concept,kept_for_semantic_review,True,,
supervising analyst boston,candidate_concept,kept_for_semantic_review,True,,
supervising analyst columbia,candidate_concept,kept_for_semantic_review,True,,
supervising analyst faculty,candidate_concept,kept_for_semantic_review,True,,
supervising analyst new,candidate_concept,kept_for_semantic_review,True,,
supervising analyst psychoanalytic,candidate_concept,kept_for_semantic_review,True,,
supervision,candidate_concept,kept_for_semantic_review,True,,
supervisor,candidate_concept,kept_for_semantic_review,True,,
supervisor new york,candidate_concept,kept_for_semantic_review,True,,
symptoms,candidate_concept,kept_for_semantic_review,True,,
take place,candidate_concept,kept_for_semantic_review,True,,
takes place,candidate_concept,kept_for_semantic_review,True,,
technique,candidate_concept,kept_for_semantic_review,True,,
tel aviv israel,candidate_concept,kept_for_semantic_review,True,,
theoretical,background_domain_term,explicit_background_domain_rule,False,,
theoretical clinical,candidate_concept,kept_for_semantic_review,True,,
theories,candidate_concept,kept_for_semantic_review,True,,
theory,background_domain_term,explicit_background_domain_rule,False,,
theory practice,candidate_concept,kept_for_semantic_review,True,,
theory psychoanalytic technique,candidate_concept,kept_for_semantic_review,True,,
theory technique,candidate_concept,kept_for_semantic_review,True,,
therapeutic,candidate_concept,kept_for_semantic_review,True,,
therapeutic action,candidate_concept,kept_for_semantic_review,True,,
therapeutic action psychoanalysis,candidate_concept,kept_for_semantic_review,True,,
therapeutic alliance,candidate_concept,kept_for_semantic_review,True,,
therapeutic process,candidate_concept,kept_for_semantic_review,True,,
therapeutic relationship,candidate_concept,kept_for_semantic_review,True,,
therapist,background_domain_term,explicit_background_domain_rule,False,,
therapists,background_domain_term,explicit_background_domain_rule,False,,
therapy,background_domain_term,explicit_background_domain_rule,False,,
therefore,candidate_concept,kept_for_semantic_review,True,,
think about,candidate_concept,kept_for_semantic_review,True,,
thinking,candidate_concept,kept_for_semantic_review,True,,
thinking about,candidate_concept,kept_for_semantic_review,True,,
thomas ogden,candidate_concept,kept_for_semantic_review,True,,
thomas ogden thomas,candidate_concept,kept_for_semantic_review,True,,
thought,candidate_concept,kept_for_semantic_review,True,,
three,candidate_concept,kept_for_semantic_review,True,,
thus,candidate_concept,kept_for_semantic_review,True,,
time,candidate_concept,kept_for_semantic_review,True,,
too,candidate_concept,kept_for_semantic_review,True,,
toronto ontario canada,candidate_concept,kept_for_semantic_review,True,,
toward,candidate_concept,kept_for_semantic_review,True,,
towards,candidate_concept,kept_for_semantic_review,True,,
training,candidate_concept,kept_for_semantic_review,True,,
training analysis,candidate_concept,kept_for_semantic_review,True,,
training analyst,candidate_concept,kept_for_semantic_review,True,,
training research,candidate_concept,kept_for_semantic_review,True,,
training supervising,candidate_concept,kept_for_semantic_review,True,,
training supervising analyst,candidate_concept,kept_for_semantic_review,True,,
transference,candidate_concept,kept_for_semantic_review,True,,
transference countertransference,candidate_concept,kept_for_semantic_review,True,,
transference neurosis,candidate_concept,kept_for_semantic_review,True,,
trauma,candidate_concept,kept_for_semantic_review,True,,
treatment,background_domain_term,explicit_background_domain_rule,False,,
two,candidate_concept,kept_for_semantic_review,True,,
two years,candidate_concept,kept_for_semantic_review,True,,
unconscious,candidate_concept,kept_for_semantic_review,True,,
unconscious fantasies,candidate_concept,kept_for_semantic_review,True,,
unconscious fantasy,candidate_concept,kept_for_semantic_review,True,,
und,candidate_concept,kept_for_semantic_review,True,,
understanding,candidate_concept,kept_for_semantic_review,True,,
united states,candidate_concept,kept_for_semantic_review,True,,
united states email,candidate_concept,kept_for_semantic_review,True,,
university,candidate_concept,kept_for_semantic_review,True,,
university california san,candidate_concept,kept_for_semantic_review,True,,
university center psychoanalytic,candidate_concept,kept_for_semantic_review,True,,
university college london,candidate_concept,kept_for_semantic_review,True,,
university new,candidate_concept,kept_for_semantic_review,True,,
university new york,candidate_concept,kept_for_semantic_review,True,,
university postdoctoral,candidate_concept,kept_for_semantic_review,True,,
university postdoctoral program,candidate_concept,kept_for_semantic_review,True,,
university school medicine,candidate_concept,kept_for_semantic_review,True,,
usa,candidate_concept,kept_for_semantic_review,True,,
usa e-mail,candidate_concept,kept_for_semantic_review,True,,
various,candidate_concept,kept_for_semantic_review,True,,
version accepted,candidate_concept,kept_for_semantic_review,True,,
version accepted september,candidate_concept,kept_for_semantic_review,True,,
very,candidate_concept,kept_for_semantic_review,True,,
wallerstein robert wallerstein,candidate_concept,kept_for_semantic_review,True,,
well,candidate_concept,kept_for_semantic_review,True,,
west,candidate_concept,kept_for_semantic_review,True,,
west end,candidate_concept,kept_for_semantic_review,True,,
west end avenue,candidate_concept,kept_for_semantic_review,True,,
west new,candidate_concept,kept_for_semantic_review,True,,
west new york,candidate_concept,kept_for_semantic_review,True,,
west street,candidate_concept,kept_for_semantic_review,True,,
west street new,candidate_concept,kept_for_semantic_review,True,,
west street suite,candidate_concept,kept_for_semantic_review,True,,
white,candidate_concept,kept_for_semantic_review,True,,
white institute,candidate_concept,kept_for_semantic_review,True,,
whole,candidate_concept,kept_for_semantic_review,True,,
william alanson,candidate_concept,kept_for_semantic_review,True,,
william alanson white,candidate_concept,kept_for_semantic_review,True,,
women,candidate_concept,kept_for_semantic_review,True,,
work,background_domain_term,explicit_background_domain_rule,False,,
working,background_domain_term,explicit_background_domain_rule,False,,
world,candidate_concept,kept_for_semantic_review,True,,
writing,candidate_concept,kept_for_semantic_review,True,,
years,candidate_concept,kept_for_semantic_review,True,,
years ago,candidate_concept,kept_for_semantic_review,True,,
yet,candidate_concept,kept_for_semantic_review,True,,
york,candidate_concept,kept_for_semantic_review,True,,
york city,candidate_concept,kept_for_semantic_review,True,,
york e-mail,candidate_concept,kept_for_semantic_review,True,,
york fax e-mail,candidate_concept,kept_for_semantic_review,True,,
york international universities,candidate_concept,kept_for_semantic_review,True,,
york new,candidate_concept,kept_for_semantic_review,True,,
york new york,candidate_concept,kept_for_semantic_review,True,,
york psychoanalytic,candidate_concept,kept_for_semantic_review,True,,
york psychoanalytic institute,candidate_concept,kept_for_semantic_review,True,,
york psychoanalytic society,candidate_concept,kept_for_semantic_review,True,,
york united states,candidate_concept,kept_for_semantic_review,True,,
york university,candidate_concept,kept_for_semantic_review,True,,
york university postdoctoral,candidate_concept,kept_for_semantic_review,True,,
york usa,candidate_concept,kept_for_semantic_review,True,,
york usa e-mail,candidate_concept,kept_for_semantic_review,True,,
young,candidate_concept,kept_for_semantic_review,True,,
